-30;18.051.971;17.332.000;16.636.657
-29;16.935.863;16.304.080;15.693.019
-28;15.939.380;15.344.770;14.769.663
-27;15.008.930;14.449.030;13.907.495
-26;14.139.673;13.612.200;13.102.028
-25;13.291.367;12.830.000;12.383.016
-24;12.528.144;12.093.270;11.671.953
-23;11.814.336;11.404.240;11.006.928
-22;11.146.401;10.759.490;10.384.640
-21;10.521.085;10.155.880;9.802.059
-20;9.908.617;9.590.500;9.281.695
-19;9.360.641;9.060.117;876.839
-18;8.846.914;8.562.883;8.287.167
-17;8.365.067;8.096.506;7.835.807
-16;7.912.910;7.658.865;7.412.257
-15;7.467.035;7.248.000;7.034.662
-14;7.063.711;6.856.507;6.654.693
-13;6.685.024;6.488.929;6.297.934
-12;6.329.310;6.143.649;5.962.817
-11;5.995.024;5.819.169;5.647.888
-10;5.665.131;5.514.100;5.366.581
-9;5.370.073;5.226.908;5.087.073
-8;5.092.437;4.956.674;4.824.068
-7;4.831.082;4.702.286;4.576.486
-6;4.584.948;4.462.714;4.343.323
-5;4.341.442;4.237.000;4.134.672
-4;4.119.667;4.020.560;3.923.459
-3;3.910.739;3.816.658;3.724.482
-2;3.713.832;3.624.488;3.536.953
-1;3.528.178;3.443.301;3.360.142
0;3.344.393;3.272.400;3.201.638
1;3.178.826;3.110.397;3.043.138
2;3.022.571;2.957.506;2.893.553
3;2.875.046;2.813.157;2.752.325
4;2.735.710;2.676.820;2.618.936
5;2.597.533;2.548.000;2.499.157
6;2.472.985;2.425.827;2.379.326
7;2.355.234;2.310.321;2.266.034
8;2.243.869;2.201.080;2.158.887
9;2.138.504;2.097.724;2.057.513
10;2.033.838;1.999.900;1.966.338
11;1.937.916;1.905.578;1.873.599
12;1.847.142;1.816.319;1.785.838
13;1.761.211;1.731.822;1.702.759
14;1.679.835;1.651.804;1.624.083
15;1.598.962;1.576.000;1.553.211
16;1.526.170;1.504.253;1.482.502
17;1.457.160;1.436.234;1.415.466
18;1.391.712;1.371.726;1.351.891
19;1.329.622;1.310.528;1.291.578
20;1.267.793;1.252.450;1.237.170
21;1.211.240;1.196.582;1.181.984
22;1.157.568;1.143.559;1.129.608
23;1.106.613;1.093.221;1.079.884
24;1.056.340;1.045.415;1.034.506
25;1.010.000;1.000.000;990.000
26;968.195;958.191;948.195
27;928.384;918.392;908.415
28;890.074;880.494;870.928
29;853.582;844.395;835.222
30;819.874;810.000;800.167
31;785.700;776.238;766.815
32;753.161;744.091;735.058
33;722.170;713.472;704.812
34;692.643;684.301;675.994
35;665.901;656.500;647.167
36;638.857;629.838;620.884
37;613.075;604.420;595.827
38;588.489;580.181;571.933
39;565.037;557.060;549.141
40;543.774;535.000;526.316
41;522.133;513.708;50.537
42;501.482;493.391;485.382
43;481.771;473.998;466.304
44;462.952;455.483;44.809
45;445.864;437.800;429.836
46;428.302;420.555;412.905
47;411.535;404.092;396.741
48;395.522;388.369;381.304
49;380.227;37.335;366.558
50;366.326;358.999;351.785
51;353.225;34.616;339.204
52;340.669;333.855;327.147
53;328.632;322.059;315.588
54;317.091;310.748;304.504
55;30.66;29.99;293.318
56;29.551;289.053;282.709
57;284.885;27.866;272.545
58;274.703;26.87;262.803
59;264.943;259.153;253.466
60;256.058;25;244.063
61;246.941;241.099;235.373
62;23.82;232.565;227.042
63;229.818;224.381;219.052
64;221.778;216.531;211.389
65;214.449;20.9;203.669
66;20.7;201.741;196.595
67;199.852;194.774;189.806
68;19.299;188.087;183.289
69;186.402;181.666;177.032
70;180.391;17.55;170.723
71;174.182;169.459;164.847
72;16.822;163.659;159.204
73;162.495;158.089;153.786
74;156.996;152.739;148.582
75;151.975;14.76;143.337
76;147.046;142.813;138.688
77;142.303;138.206;134.215
78;137.739;133.774;129.910
79;133.346;129.507;125.767
80;129.333;12.54;121.575
81;125.153;121.347;117.646
82;12.113;117.447;113.865
83;117.259;113.694;110.225
84;113.532;11.008;106.722
85;110.123;10.66;103.179
86;106.655;103.243;9.993
87;103.315;10.001;9.68
88;100.097;96.895;93.785
89;96.996;93.893;9.088
90;94.159;9.1;87.939
91;91.231;88.171;85.205
92;8.841;85.444;82.571
93;85.691;82.816;80.031
94;83.069;80.283;77.583
95;80.667;7.784;75.105
96;78.282;75.538;72.884
97;75.979;73.316;7.074
98;73.756;71.172;6.867
99;7.161;6.91;66.672
100;69.643;6.71;64.644
101;67.739;65.265;62.876
102;65.896;6.349;61.166
103;64.113;61.772;59.511
104;62.388;60.109;57.909
105;60.808;5.85;56.274
106;59.075;56.832;54.669
107;5.74;55.221;53.119
108;5.578;53.663;5.162
109;54.214;52.156;50.171
110;52.777;5.07;4.87
111;5.131;49.291;47.346
112;49.892;47.928;46.037
113;48.519;4.661;44.771
114;47.192;45.334;43.546
115;45.973;4.41;42.299
116;44.729;42.906;41.154
117;43.524;41.751;40.046
118;42.358;40.632;38.973
119;41.229;39.549;37.934
120;40.192;3.85;36.877
121;39.054;3.741;35.833
122;37.954;36.357;34.824
123;36.891;35.338;33.848
124;35.862;34.353;32.904
125;34.915;3.34;31.947
126;34.027;3.255;31.135
127;33.166;31.726;30.346
128;3.233;30.927;29.582
129;3.152;30.152;28.841
